JT 3M Company Common Stock (MMM), P, 01/30/2025, 15000
JT 3M Company Common Stock (MMM), P, 01/21/2025, 15000
JT Abbott Laboratories Common Stock (ABT), P, 01/29/2025, 15000
JT Abbott Laboratories Common Stock (ABT), P, 01/28/2025, 15000
JT Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share (BABA), P, 01/31/2025, 15000
JT Alphabet Inc. - Class C Capital Stock (GOOG), S, 01/16/2025, 15000
JT Ambev S.A. American Depositary Shares (ABEV), P, 01/27/2025, 15000
JT Arista Networks Inc. Common Stock (ANET), S, 01/31/2025, 15000
JT Arista Networks Inc. Common Stock (ANET), S, 01/28/2025, 15000
JT Berkshire Hathaway Inc. New Common Stock (BRK.B), P, 01/16/2025, 15000
JT Broadcom Inc. - Common Stock (AVGO), S, 01/28/2025, 15000
JT Broadcom Inc. - Common Stock (AVGO), S, 01/29/2025, 15000
JT Cadre Holdings Inc. Common Stock (CDRE), P, 01/27/2025, 15000
JT COLOPLAST AS SP/ADR (CLPBY), P, 01/27/2025, 15000
JT Corning Incorporated Common Stock (GLW), P, 01/30/2025, 15000
JT Corning Incorporated Common Stock (GLW), P, 01/27/2025, 15000
JT D.R. Horton Inc. Common Stock (DHI), P, 01/16/2025, 15000
JT Dominion Energy Inc. Common Stock (D), P, 01/16/2025, 15000
JT Eaton Corporation PLC Ordinary Shares (ETN), S, 01/29/2025, 15000
JT Eaton Corporation PLC Ordinary Shares (ETN), S, 01/23/2025, 15000
JT Eli Lilly and Company Common Stock (LLY), S, 01/08/2025, 15000
JT Fair Isaac Corporation Common Stock (FICO), S, 01/27/2025, 15000
JT Genmab A/S - American Depositary Shares (GMAB), P, 01/16/2025, 15000
JT Grupo Financiero Banorte S.A.B. De C.V Sponsored ADR (GBOOY), P, 01/27/2025, 15000
JT ICF International Inc. - Common Stock (ICFI), S, 01/31/2025, 15000
JT Intapp Inc. - Common Stock (INTA), S, 01/17/2025, 15000
JT Intra-Cellular Therapies Inc. (ITCI), S, 01/24/2025, 15000
JT Intuitive Surgical Inc. - Common Stock (ISRG), S, 01/21/2025, 15000
JT Intuitive Surgical Inc. - Common Stock (ISRG), S, 01/29/2025, 15000
JT Intuitive Surgical Inc. - Common Stock (ISRG), S, 01/10/2025, 15000
JT Johnson & Johnson Common Stock (JNJ), P, 01/16/2025, 15000
JT Johnson & Johnson Common Stock (JNJ), P, 01/24/2025, 15000
JT Johnson & Johnson Common Stock (JNJ), P, 01/21/2025, 15000
JT Mastercard Incorporated Common Stock (MA), P, 01/30/2025, 15000
JT Mastercard Incorporated Common Stock (MA), P, 01/31/2025, 15000
JT Mastercard Incorporated Common Stock (MA), S, 01/16/2025, 15000
JT MercadoLibre Inc. - Common Stock (MELI), S, 01/27/2025, 15000
JT Merck & Company Inc. Common Stock (MRK), S, 01/27/2025, 50000
JT Meta Platforms Inc. - Class A Common Stock (META), S, 01/16/2025, 15000
JT Microsoft Corporation - Common Stock (MSFT), S, 01/16/2025, 15000
JT Microsoft Corporation - Common Stock (MSFT), S, 01/21/2025, 15000
JT Microsoft Corporation - Common Stock (MSFT), S, 01/31/2025, 15000
JT Netflix Inc. - Common Stock (NFLX), S, 01/22/2025, 15000
JT NVIDIA Corporation - Common Stock (NVDA), S, 01/29/2025, 15000
JT NVIDIA Corporation - Common Stock (NVDA), S, 01/28/2025, 15000
JT NVIDIA Corporation - Common Stock (NVDA), S, 01/17/2025, 15000
JT NVIDIA Corporation - Common Stock (NVDA), S, 01/16/2025, 15000
JT Oracle Corporation Common Stock (ORCL), S, 01/28/2025, 15000
JT Oracle Corporation Common Stock (ORCL), S, 01/22/2025, 15000
JT Oracle Corporation Common Stock (ORCL), S, 01/21/2025, 15000
JT PAR Technology Corporation Common Stock (PAR), P, 01/17/2025, 15000
JT PT Telekomunikasi Indonesia Tbk (TLK), P, 01/16/2025, 15000
JT Quanta Services Inc. Common Stock (PWR), S, 01/29/2025, 15000
JT Quanta Services Inc. Common Stock (PWR), S, 01/21/2025, 15000
JT Regeneron Pharmaceuticals Inc. - Common Stock (REGN), S, 01/24/2025, 15000
JT Salesforce Inc. Common Stock (CRM), P, 01/29/2025, 15000
JT Shell PLC American Depositary Shares (SHEL), P, 01/16/2025, 15000
JT Taiwan Semiconductor Manufacturing Company Ltd. (TSM), S, 01/28/2025, 15000
JT TE Connectivity plc Ordinary Shares (TEL), P, 01/23/2025, 15000
JT Tesla Inc. - Common Stock (TSLA), P, 01/28/2025, 15000
JT Tesla Inc. - Common Stock (TSLA), P, 01/31/2025, 15000
JT Tesla Inc. - Common Stock (TSLA), P, 01/30/2025, 15000
JT Transdigm Group Incorporated Common Stock (TDG), S, 01/16/2025, 15000
JT Twilio Inc. Class A Common Stock (TWLO), P, 01/31/2025, 15000
JT Uber Technologies Inc. Common Stock (UBER), S, 01/23/2025, 15000
JT Uber Technologies Inc. Common Stock (UBER), S, 01/29/2025, 15000
JT UNICHARM CORP S/ADR (UNICY), P, 01/16/2025, 15000
JT Union Pacific Corporation Common Stock (UNP), P, 01/29/2025, 15000
JT Walmart Inc. Common Stock (WMT), P, 01/22/2025, 15000
