Advanced Micro Devices Inc. (AMD), P, 01/08/2025, 15000
Advanced Micro Devices Inc. (AMD), P, 01/08/2025, 15000
Advanced Micro Devices Inc. (AMD), P, 01/08/2025, 15000
Advanced Micro Devices Inc. (AMD), P, 01/21/2025, 15000
Advanced Micro Devices Inc. (AMD), P, 01/08/2025, 15000
Alphabet Inc. - Class C Capital Stock (GOOG), P, 01/08/2025, 15000
Alphabet Inc. - Class C Capital Stock (GOOG), P, 01/08/2025, 15000
Amazon.com Inc. - Common Stock (AMZN), P, 01/08/2025, 15000
Amazon.com Inc. - Common Stock (AMZN), P, 01/08/2025, 15000
Amazon.com Inc. - Common Stock (AMZN), P, 01/08/2025, 15000
Amazon.com Inc. - Common Stock (AMZN), P, 01/08/2025, 15000
Amazon.com Inc. - Common Stock (AMZN), P, 01/21/2025, 15000
ASML Holding N.V. - New York Registry Shares (ASML), P, 01/08/2025, 15000
Berkshire Hathaway Inc. New Common Stock (BRK.B), P, 01/08/2025, 15000
Berkshire Hathaway Inc. New Common Stock (BRK.B), P, 01/08/2025, 15000
Berkshire Hathaway Inc. New Common Stock (BRK.B), P, 01/08/2025, 15000
Cardinal Health Inc. Common Stock (CAH), P, 01/21/2025, 15000
Caterpillar Inc. Common Stock (CAT), P, 01/08/2025, 15000
Caterpillar Inc. Common Stock (CAT), P, 01/08/2025, 15000
Caterpillar Inc. Common Stock (CAT), P, 01/08/2025, 15000
Devon Energy Corporation Common Stock (DVN), P, 01/21/2025, 15000
Eli Lilly and Company Common Stock (LLY), P, 01/21/2025, 15000
Intel Corporation - Common Stock (INTC), P, 01/08/2025, 15000
Intel Corporation - Common Stock (INTC), P, 01/08/2025, 15000
Johnson & Johnson Common Stock (JNJ), P, 01/08/2025, 15000
Johnson & Johnson Common Stock (JNJ), P, 01/08/2025, 15000
Johnson & Johnson Common Stock (JNJ), P, 01/08/2025, 15000
JP Morgan Chase & Co. Common Stock (JPM), P, 01/08/2025, 15000
JP Morgan Chase & Co. Common Stock (JPM), P, 01/08/2025, 15000
JP Morgan Chase & Co. Common Stock (JPM), P, 01/08/2025, 15000
JP Morgan Chase & Co. Common Stock (JPM), P, 01/08/2025, 15000
Kinder Morgan Inc. Common Stock (KMI), P, 01/21/2025, 15000
Meta Platforms Inc. - Class A Common Stock (META), P, 01/21/2025, 15000
NextEra Energy Inc. Common Stock (NEE), P, 01/21/2025, 15000
Norfolk Southern Corporation Common Stock (NSC), P, 01/21/2025, 15000
NVIDIA Corporation - Common Stock (NVDA), P, 01/21/2025, 15000
NVIDIA Corporation - Common Stock (NVDA), P, 01/08/2025, 15000
Occidental Petroleum Corporation Common Stock (OXY), P, 01/21/2025, 15000
Old Dominion Freight Line Inc. - Common Stock (ODFL), P, 01/21/2025, 15000
Southern Copper Corporation Common Stock (SCCO), P, 01/08/2025, 15000
Tesla Inc. - Common Stock (TSLA), P, 01/08/2025, 15000
Tesla Inc. - Common Stock (TSLA), P, 01/08/2025, 15000
Tesla Inc. - Common Stock (TSLA), P, 01/08/2025, 15000
Tesla Inc. - Common Stock (TSLA), P, 01/08/2025, 15000
The Hershey Company Common Stock (HSY), P, 01/08/2025, 15000
United Parcel Service Inc. Common Stock (UPS), P, 01/08/2025, 15000
United Parcel Service Inc. Common Stock (UPS), P, 01/08/2025, 15000
