(AAON), S, 01/13/2025, 15000
(AAON), S, 01/13/2025, 15000
(ACN), S, 01/13/2025, 15000
(ADBE), S, 01/13/2025, 15000
(WMS), S, 01/13/2025, 15000
(AMD), S, 01/13/2025, 15000
(BABA), P, 01/29/2025, 15000
(BABA), P, 01/29/2025, 15000
(BABA), P, 01/30/2025, 15000
(BABA), P, 01/29/2025, 15000
(GOOG), S, 01/21/2025, 100000
(GOOG), S, 01/13/2025, 15000
(ANSS), S, 01/13/2025, 15000
(APPF), S, 01/13/2025, 15000
(ANET), S, 01/13/2025, 15000
(TEAM), P, 01/28/2025, 15000
(TEAM), P, 01/28/2025, 15000
(TEAM), P, 01/28/2025, 15000
(AXON), S, 01/13/2025, 15000
(BRK.B), S, 01/15/2025, 50000
(BRK.B), S, 01/15/2025, 50000
(BRK.B), P, 01/13/2025, 15000
(BRK.B), P, 01/15/2025, 100000
(BRK.B), S, 01/13/2025, 50000
(BRK.B), P, 01/13/2025, 50000
(BRK.B), P, 01/13/2025, 15000
(BERY), S, 01/13/2025, 15000
(BAH), S, 01/13/2025, 15000
(AVGO), S, 01/28/2025, 15000
(BR), S, 01/13/2025, 15000
(BRO), S, 01/13/2025, 15000
(CDNS), S, 01/13/2025, 15000
(CDW), S, 01/13/2025, 15000
(CVX), S, 01/13/2025, 15000
(CMG), S, 01/13/2025, 15000
(CHDN), S, 01/13/2025, 15000
(CLH), S, 01/13/2025, 15000
(FIX), S, 01/13/2025, 15000
(CRDO), S, 01/29/2025, 15000
(CRDO), S, 01/29/2025, 15000
(CRDO), S, 01/29/2025, 15000
(CRWD), P, 01/28/2025, 15000
(CRWD), P, 01/28/2025, 15000
(CRWD), S, 01/13/2025, 15000
(CRWD), P, 01/28/2025, 15000
(DRI), S, 01/13/2025, 15000
(DECK), S, 01/13/2025, 15000
(DBX), S, 01/13/2025, 15000
(ELF), S, 01/13/2025, 15000
(ELV), S, 01/13/2025, 15000
(EME), S, 01/13/2025, 15000
(FTNT), S, 01/13/2025, 15000
(GDDY), S, 01/13/2025, 15000
(GPK), S, 01/13/2025, 15000
(HQY), S, 01/13/2025, 15000
(HEI), S, 01/13/2025, 15000
(HEI), S, 01/13/2025, 15000
(IR), S, 01/13/2025, 15000
(IBP), S, 01/13/2025, 15000
(INTC), P, 02/03/2025, 15000
(INTC), P, 02/03/2025, 15000
(INTC), P, 02/03/2025, 15000
(ICE), S, 01/13/2025, 15000
(INTU), S, 01/13/2025, 15000
(LRCX), P, 01/16/2025, 15000
(LW), S, 01/13/2025, 15000
(LIN), S, 01/13/2025, 15000
(LOW), S, 02/07/2025, 50000
(LULU), S, 01/13/2025, 15000
(MANH), S, 01/13/2025, 15000
(MANH), S, 01/29/2025, 15000
(MANH), S, 01/29/2025, 15000
(MANH), S, 01/29/2025, 15000
(MA), S, 01/13/2025, 15000
(MEDP), S, 01/13/2025, 15000
(META), S, 01/29/2025, 15000
(META), S, 01/29/2025, 15000
(MSFT), S, 01/13/2025, 15000
(MSFT), S, 01/30/2025, 15000
(MSFT), S, 01/30/2025, 15000
(MOH), S, 01/13/2025, 15000
(MPWR), S, 01/13/2025, 15000
(MSCI), S, 01/13/2025, 15000
(NFLX), S, 01/13/2025, 15000
(NTNX), S, 01/13/2025, 15000
(NVDA), S, 01/28/2025, 15000
(NVDA), S, 01/29/2025, 15000
(NVDA), S, 01/29/2025, 15000
(PCAR), S, 01/13/2025, 15000
(PAYX), S, 01/13/2025, 15000
(PCTY), S, 01/13/2025, 15000
(PFGC), S, 01/13/2025, 15000
(PSTG), S, 01/13/2025, 15000
(PWR), S, 01/13/2025, 15000
(RMD), S, 01/13/2025, 15000
(HOOD), S, 01/29/2025, 15000
(HOOD), S, 01/29/2025, 15000
(HOOD), S, 01/29/2025, 15000
(RCL), S, 01/13/2025, 15000
(SAIA), S, 01/13/2025, 15000
(CRM), S, 01/21/2025, 50000
(CRM), S, 01/13/2025, 15000
(SBAC), S, 01/13/2025, 15000
(NOW), S, 01/13/2025, 15000
(NOW), P, 02/03/2025, 15000
(NOW), P, 02/03/2025, 15000
(SMCI), S, 01/13/2025, 15000
(SNPS), S, 01/13/2025, 15000
(TTWO), P, 02/03/2025, 15000
(TTWO), P, 02/03/2025, 15000
(TTWO), P, 02/03/2025, 15000
(CI), S, 01/13/2025, 15000
(TDG), S, 01/13/2025, 15000
(URI), S, 01/13/2025, 15000
(UNH), S, 01/13/2025, 15000
(WAB), S, 01/13/2025, 15000
(WSC), S, 01/13/2025, 15000
(ZM), P, 01/28/2025, 15000
(ZM), P, 01/28/2025, 15000
(ZM), P, 01/28/2025, 15000
(ZS), S, 01/13/2025, 15000
