Akamai Technologies Inc. - Common Stock (AKAM), S, 02/26/2025, 15000
Align Technology Inc. - Common Stock (ALGN), S, 02/26/2025, 15000
ANSYS Inc. - Common Stock (ANSS), S, 02/26/2025, 15000
Boston Scientific Corporation Common Stock (BSX), S, 02/24/2025, 15000
Cadence Design Systems Inc. - Common Stock (CDNS), S, 02/26/2025, 15000
Chipotle Mexican Grill Inc. Common Stock (CMG), S, 02/26/2025, 15000
Danaher Corporation Common Stock (DHR), S, 02/26/2025, 15000
Dollar General Corporation Common Stock (DG), P, 02/26/2025, 15000
Enerpac Tool Group Corp. Common Stock (EPAC), P, 02/26/2025, 15000
Ford Motor Company Common Stock (F), S, 02/26/2025, 15000
General Motors Company Common Stock (GM), S, 02/26/2025, 15000
Hillman Solutions Corp. - Common Stock (HLMN), P, 03/03/2025, 15000
Humana Inc. Common Stock (HUM), P, 02/26/2025, 15000
ICF International Inc. - Common Stock (ICFI), S, 02/20/2025, 15000
Merck & Company Inc. Common Stock (MRK), P, 02/26/2025, 50000
Microsoft Corporation - Common Stock (MSFT), P, 02/26/2025, 50000
Pacific Gas & Electric Co. Common Stock (PCG), S, 02/26/2025, 15000
Southwest Airlines Company Common Stock (LUV), S, 02/26/2025, 15000
Sterling Infrastructure Inc. - Common Stock (STRL), P, 03/03/2025, 15000
Tesla Inc. - Common Stock (TSLA), P, 02/26/2025, 15000
Uber Technologies Inc. Common Stock (UBER), P, 02/26/2025, 15000
UnitedHealth Group Incorporated Common Stock (UNH), S, 02/26/2025, 50000
Walgreens Boots Alliance Inc. - Common Stock (WBA), S, 02/26/2025, 15000
Willis Towers Watson Public Limited Company - Ordinary Shares (WTW), P, 02/24/2025, 15000
Wynn Resorts Limited - Common Stock (WYNN), P, 02/26/2025, 15000
