AbbVie Inc. Common Stock (ABBV), P, 12/06/2024, 15000
Alliance Resource Partners L.P. - Common Units Representing Limited Partnership Interests (ARLP), S, 12/06/2024, 50000
American Electric Power Company Inc. (AEP), P, 12/06/2024, 15000
Amgen Inc. - Common Stock (AMGN), P, 12/06/2024, 15000
Ardmore Shipping Corporation Common Stock (ASC), S, 12/06/2024, 50000
AT&T Inc. Depositary Shares each representing a 1/1000th interest in a share of 5.000% Perpetual Preferred Stock Series A (T$A), S, 12/06/2024, 100000
Bristol-Myers Squibb Company Common Stock (BMY), P, 12/06/2024, 15000
Ellington Financial Inc. 7.00% Series D Cumulative Perpetual Redeemable Preferred Stock (EFC$D), P, 12/30/2024, 15000
Energy Transfer LP Common Units (ET), S, 12/06/2024, 50000
FLEX LNG Ltd. Ordinary Shares (FLNG), S, 12/06/2024, 50000
Johnson & Johnson Common Stock (JNJ), P, 12/06/2024, 15000
Pembina Pipeline Corp. Ordinary Shares (PBA), S, 12/06/2024, 100000
Public Storage Common Stock (PSA), P, 12/06/2024, 15000
Via Renewables Inc. - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock (VIASP), S, 12/06/2024, 100000
