SP Abbott Laboratories Common Stock (ABT), S, 01/06/2025, 15000
SP Alphabet Inc. - Class C Capital Stock (GOOG), S, 01/07/2025, 15000
SP Amgen Inc. - Common Stock (AMGN), S, 01/06/2025, 15000
SP Exxon Mobil Corporation Common Stock (XOM), S, 01/06/2025, 15000
SP Fortive Corporation Common Stock (FTV), S, 01/06/2025, 15000
SP Medtronic plc. Ordinary Shares (MDT), S, 01/06/2025, 15000
SP Mondelez International Inc. - Class A Common Stock (MDLZ), S, 01/06/2025, 15000
SP Verizon Communications Inc. Common Stock (VZ), S, 01/06/2025, 15000
SP Wells Fargo & Company Common Stock (WFC), S, 01/06/2025, 15000
