Ford Motor Company Common Stock (F), P, 01/13/2025, 50000
Ford Motor Company Common Stock (F), P, 01/08/2025, 50000
Ford Motor Company Common Stock (F), P, 01/06/2025, 50000
Ford Motor Company Common Stock (F), S, 01/07/2025, 250000
Ford Motor Company Common Stock (F), P, 01/03/2025, 100000
Ford Motor Company Common Stock (F), S, 01/21/2025, 100000
Harley-Davidson Inc. Common Stock (HOG), S, 01/24/2025, 50000
Harley-Davidson Inc. Common Stock (HOG), P, 01/24/2025, 50000
Harley-Davidson Inc. Common Stock (HOG), P, 01/29/2025, 100000
Harley-Davidson Inc. Common Stock (HOG), P, 01/30/2025, 50000
Harley-Davidson Inc. Common Stock (HOG), P, 01/03/2025, 100000
Harley-Davidson Inc. Common Stock (HOG), S, 01/07/2025, 500000
Harley-Davidson Inc. Common Stock (HOG), P, 01/09/2025, 50000
Harley-Davidson Inc. Common Stock (HOG), P, 01/13/2025, 100000
Harley-Davidson Inc. Common Stock (HOG), S, 01/16/2025, 250000
