(GOOG), P, 01/02/2025, 15000
(AMZN), P, 01/02/2025, 15000
(AMZN), P, 01/02/2025, 15000
(APH), P, 01/02/2025, 15000
(AAPL), P, 01/02/2025, 15000
(ANET), P, 01/02/2025, 15000
(BLK), P, 01/02/2025, 15000
(BLK), P, 01/02/2025, 15000
(AVGO), P, 01/02/2025, 15000
(CHDN), P, 01/02/2025, 15000
(COST), P, 01/02/2025, 15000
(COST), P, 01/02/2025, 15000
(DOV), P, 01/02/2025, 15000
(MSFT), P, 01/02/2025, 15000
(NFLX), P, 01/02/2025, 15000
(NVDA), P, 01/02/2025, 15000
(PYPL), P, 01/02/2025, 15000
(CRM), P, 01/02/2025, 15000
(SOFI), P, 01/02/2025, 15000
(SOFI), P, 01/02/2025, 15000
(LUV), S, 12/31/2024, 15000
(TTD), P, 01/02/2025, 15000
(UBER), P, 01/02/2025, 15000
(VRSN), P, 01/02/2025, 15000
