First Citizens BancShares Inc. - Class A Common Stock (FCNCA), P, 01/21/2025, 15000
SP First Citizens BancShares Inc. - Class A Common Stock (FCNCA), P, 01/21/2025, 15000
First Citizens BancShares Inc. - Class A Common Stock (FCNCA), P, 01/16/2025, 15000
GoDaddy Inc. Class A Common Stock (GDDY), P, 01/16/2025, 15000
SP GoDaddy Inc. Class A Common Stock (GDDY), P, 01/16/2025, 15000
SP GoDaddy Inc. Class A Common Stock (GDDY), P, 01/21/2025, 15000
GoDaddy Inc. Class A Common Stock (GDDY), P, 01/21/2025, 15000
Merck & Company Inc. Common Stock (MRK), S, 01/16/2025, 15000
SP Merck & Company Inc. Common Stock (MRK), S, 01/16/2025, 15000
