(ADDYY), 15000, 03/31/2023, 20022653, P
(ARE), 100000, 03/06/2023, 20022653, P
(ALNY), 50000, 03/06/2023, 20022653, P
(AIG), 15000, 03/01/2023, 20022653, P
(AMT), 15000, 03/07/2023, 20022653, S
(AMT), 100000, 03/06/2023, 20022653, S
(NLY), 15000, 03/06/2023, 20022653, S
(NLY), 15000, 03/01/2023, 20022653, S
(ANZGY), 100000, 03/31/2023, 20022653, P
(AON), 50000, 03/06/2023, 20022653, P
(ADM), 100000, 03/06/2023, 20022653, P
(ASXFY), 15000, 03/31/2023, 20022653, S
(ATLKY), 15000, 03/31/2023, 20022653, P
(AVB), 50000, 03/06/2023, 20022653, P
(SAN), 15000, 03/31/2023, 20022653, P
(BAYRY), 50000, 03/31/2023, 20022653, S
(BMRN), 15000, 03/06/2023, 20022653, S
(BNPQY), 15000, 03/31/2023, 20022653, S
(BDNNY), 15000, 03/31/2023, 20022653, P
(BMY), 250000, 03/06/2023, 20022653, S
(BMY), 15000, 03/07/2023, 20022653, S
(CAJPY), 15000, 03/31/2023, 20022653, S
(CJPRY), 50000, 03/31/2023, 20022653, P
(SCHW), 50000, 03/06/2023, 20022653, P
(CHGCY), 50000, 03/31/2023, 20022653, S
(CNHI), 15000, 03/31/2023, 20022653, S
(CRZBY), 50000, 03/31/2023, 20022653, P
(CMWAY), 250000, 03/31/2023, 20022653, S
(CEG), 15000, 03/01/2023, 20022653, P
(CS), 15000, 03/20/2023, 20022653, S
(DLICY), 50000, 03/31/2023, 20022653, P
(DKILY), 15000, 03/31/2023, 20022653, P
(DBSDY), 15000, 03/31/2023, 20022653, S
(DPSGY), 50000, 03/31/2023, 20022653, P
(DNBBY), 50000, 03/31/2023, 20022653, S
(EW), 50000, 03/06/2023, 20022653, P
(ELAN), 15000, 03/06/2023, 20022653, S
(EQR), 50000, 03/06/2023, 20022653, P
(ERIC), 15000, 03/31/2023, 20022653, S
(EBKDY), 15000, 03/31/2023, 20022653, P
(EL), 15000, 03/06/2023, 20022653, S
(FIS), 50000, 03/06/2023, 20022653, S
(FNF), 15000, 03/06/2023, 20022653, P
(FSUGY), 15000, 03/31/2023, 20022653, S
(GMAB), 15000, 03/31/2023, 20022653, S
(GMED), 50000, 03/06/2023, 20022653, S
(GRFS), 15000, 03/31/2023, 20022653, S
(GO), 15000, 03/06/2023, 20022653, S
(HE), 50000, 03/06/2023, 20022653, S
(PEAK), 15000, 03/06/2023, 20022653, S
(HDELY), 15000, 03/31/2023, 20022653, P
(HXGBY), 15000, 03/31/2023, 20022653, S
(HPP), 15000, 03/06/2023, 20022653, S
(HPP), 15000, 03/01/2023, 20022653, S
(IHG), 15000, 03/31/2023, 20022653, S
(IFF), 50000, 03/06/2023, 20022653, S
(IONS), 15000, 03/06/2023, 20022653, S
(JHX), 15000, 03/31/2023, 20022653, P
(JAPAY), 50000, 03/31/2023, 20022653, S
(JAZZ), 50000, 03/06/2023, 20022653, P
(JBGS), 15000, 03/06/2023, 20022653, P
(JTKWY), 15000, 03/31/2023, 20022653, S
(KMB), 15000, 03/06/2023, 20022653, S
(LHX), 15000, 03/06/2023, 20022653, P
(BATRK), 50000, 03/06/2023, 20022653, P
(LYG), 50000, 03/31/2023, 20022653, P
(LUMN), 15000, 03/06/2023, 20022653, S
(LUMN), 15000, 03/01/2023, 20022653, S
(MQBKY), 15000, 03/31/2023, 20022653, S
(VAC), 50000, 03/06/2023, 20022653, S
(MMC), 15000, 03/06/2023, 20022653, P
(MKC), 15000, 03/06/2023, 20022653, P
(MPW), 15000, 03/06/2023, 20022653, S
(MPW), 15000, 03/01/2023, 20022653, S
(MDT), 50000, 03/06/2023, 20022653, P
(MBGYY), 15000, 03/31/2023, 20022653, P
(MRK), 50000, 03/06/2023, 20022653, S
(MSSMY), 15000, 03/31/2023, 20022653, P
(MITEY), 50000, 03/31/2023, 20022653, S
(MUFG), 50000, 03/31/2023, 20022653, S
(MSLOY), 15000, 03/31/2023, 20022653, S
(MFG), 15000, 03/31/2023, 20022653, P
(TAP), 15000, 03/01/2023, 20022653, P
(MDLZ), 250000, 03/06/2023, 20022653, S
(MONOY), 15000, 03/31/2023, 20022653, S
(MHGVY), 50000, 03/31/2023, 20022653, P
(MSADY), 15000, 03/31/2023, 20022653, S
(NFG), 50000, 03/01/2023, 20022653, S
(NWG), 50000, 03/31/2023, 20022653, P
(NOK), 15000, 03/31/2023, 20022653, P
(NRILY), 15000, 03/31/2023, 20022653, P
(NOC), 50000, 03/06/2023, 20022653, P
(NTDTY), 15000, 03/31/2023, 20022653, S
(OCDDY), 15000, 03/31/2023, 20022653, P
(OLYMY), 15000, 03/31/2023, 20022653, S
(OHI), 15000, 03/07/2023, 20022653, S
(DNNGY), 15000, 03/31/2023, 20022653, P
(OTSKY), 15000, 03/31/2023, 20022653, S
(PM), 15000, 03/07/2023, 20022653, S
(PM), 15000, 03/06/2023, 20022653, S
(PEG), 15000, 03/06/2023, 20022653, S
(RJF), 50000, 03/06/2023, 20022653, S
(RGA), 15000, 03/01/2023, 20022653, P
(RIVN), 50000, 03/06/2023, 20022653, S
(RHHBY), 15000, 03/31/2023, 20022653, P
(SBRA), 15000, 03/01/2023, 20022653, P
(SALRY), 50000, 03/31/2023, 20022653, P
