(AAIC$B), 15000, 03/31/2022, 20022213, P
(BTI), 15000, 03/31/2022, 20022213, P
(BTI), 50000, 03/29/2022, 20022213, P
(CPXWF), 15000, 03/24/2022, 20022213, P
(CPXWF), 50000, 03/21/2022, 20022213, P
(CPXWF), 50000, 03/23/2022, 20022213, P
(CPXWF), 50000, 03/08/2022, 20022213, P
(CWEN.A), 100000, 03/23/2022, 20022213, P
(DUK$A), 50000, 03/25/2022, 20022213, P
(XOM), 15000, 03/10/2022, 20022213, P
(FHLC), 50000, 03/08/2022, 20022213, S
(HCRB), 50000, 03/08/2022, 20022213, S
(ORI), 15000, 03/07/2022, 20022213, P
(ORI), 50000, 03/01/2022, 20022213, P
(PM), 250000, 03/23/2022, 20022213, S
(SIRE), 50000, 03/30/2022, 20022213, P
