(ADYEY), 15000, 09/15/2023, 20023833, S
(ALGT), 15000, 09/15/2023, 20023833, S
(GOOG), 15000, 09/15/2023, 20023833, P
(ARQT), 15000, 09/15/2023, 20023833, S
(ATLKY), 15000, 09/12/2023, 20023833, S
(BCRX), 15000, 09/15/2023, 20023833, S
(CSPCY), 15000, 09/15/2023, 20023833, S
(DAVA), 15000, 09/15/2023, 20023833, S
(XNGSY), 15000, 09/15/2023, 20023833, S
(EXAS), 15000, 09/15/2023, 20023833, S
(FANUY), 15000, 09/15/2023, 20023833, S
(FIS), 15000, 09/15/2023, 20023833, S
(FMX), 15000, 09/12/2023, 20023833, S
(FOXF), 15000, 09/15/2023, 20023833, S
(GMAB), 15000, 09/15/2023, 20023833, S
(IART), 15000, 09/15/2023, 20023833, S
(LRLCY), 15000, 09/12/2023, 20023833, P
(NCLTY), 15000, 09/15/2023, 20023833, S
(NOC), 15000, 09/26/2023, 20023833, P
(NVZMY), 15000, 09/15/2023, 20023833, S
(RBC), 15000, 09/06/2023, 20023833, S
(SMNNY), 15000, 09/15/2023, 20023833, S
(SGIOY), 15000, 09/15/2023, 20023833, S
(SHLS), 15000, 09/15/2023, 20023833, S
(TWKS), 15000, 09/15/2023, 20023833, S
(VZ), 15000, 09/15/2023, 20023833, S
