(CHRD), 50000, 08/04/2023, 20023442, P
(GD), 15000, 08/07/2023, 20023442, P
(506120KP8), 50000, 06/01/2043, 20023442, P
(LNC), 15000, 08/07/2023, 20023442, P
(MDT), 15000, 08/07/2023, 20023442, P
(DUE 10/01/2037 03.750%), 50000, 10/01/2037, 20023442, P
(605699PU5), 15000, 11/01/2044, 20023442, P
(PR), 15000, 08/09/2023, 20023442, P
(SWX), 15000, 08/07/2023, 20023442, P
(914476PV2), 100000, 11/01/2039, 20023442, P
(784532JF1), 50000, 03/01/2043, 20023442, P
(VLO), 15000, 08/07/2023, 20023442, P
(WBD), 15000, 08/01/2023, 20023442, S
