(AJINY), 15000, 01/13/2023, 20022407, P
(AON), 50000, 01/31/2023, 20022407, P
(APTV), 50000, 01/31/2023, 20022407, P
(ADM), 50000, 01/31/2023, 20022407, S
(ARWR), 15000, 01/31/2023, 20022407, S
(ALPMY), 15000, 01/13/2023, 20022407, S
(TEAM), 15000, 01/31/2023, 20022407, P
(BAC), 15000, 01/31/2023, 20022407, S
(BAYRY), 15000, 01/13/2023, 20022407, P
(BTI), 100000, 01/13/2023, 20022407, S
(COF), 15000, 01/31/2023, 20022407, P
(SCHW), 50000, 01/31/2023, 20022407, S
(CEG), 15000, 01/31/2023, 20022407, S
(COST), 50000, 01/31/2023, 20022407, S
(DNTUY), 15000, 01/13/2023, 20022407, P
(ESALY), 15000, 01/30/2023, 20022407, S
(EQR), 15000, 01/31/2023, 20022407, P
(EL), 15000, 01/31/2023, 20022407, S
(FANUY), 15000, 01/13/2023, 20022407, P
(GVDNY), 15000, 01/13/2023, 20022407, S
(HLN), 15000, 01/13/2023, 20022407, P
(MUNI), 250000, 01/17/2023, 20022407, P
(HTHIY), 15000, 01/13/2023, 20022407, S
(HZNP), 50000, 01/31/2023, 20022407, S
(IDEXY), 15000, 01/13/2023, 20022407, S
(JAPSY), 15000, 01/13/2023, 20022407, S
(JAZZ), 15000, 01/31/2023, 20022407, S
(KDDIY), 15000, 01/13/2023, 20022407, P
(KNBWY), 15000, 01/13/2023, 20022407, P
(LHX), 50000, 01/31/2023, 20022407, P
(LMT), 50000, 01/31/2023, 20022407, P
(LOGI), 15000, 01/13/2023, 20022407, S
(MDT), 50000, 01/31/2023, 20022407, P
(MRK), 15000, 01/31/2023, 20022407, P
(MDLZ), 50000, 01/31/2023, 20022407, P
(MSADY), 15000, 01/13/2023, 20022407, P
(NICE), 15000, 01/13/2023, 20022407, S
(NOC), 50000, 01/31/2023, 20022407, S
(MUNI), 500000, 01/10/2023, 20022407, S
(PEG), 15000, 01/31/2023, 20022407, P
(RJF), 50000, 01/31/2023, 20022407, P
(RTX), 50000, 01/31/2023, 20022407, S
(RIVN), 50000, 01/31/2023, 20022407, P
(RBLX), 50000, 01/31/2023, 20022407, P
(RHHBY), 50000, 01/13/2023, 20022407, P
(RDSMY), 15000, 01/24/2023, 20022407, S
(SRPT), 15000, 01/31/2023, 20022407, S
(SBAC), 50000, 01/31/2023, 20022407, P
(SBCF), 50000, 01/31/2023, 20022407, S
(SVNDY), 15000, 01/13/2023, 20022407, P
(SHW), 50000, 01/31/2023, 20022407, P
(SSDOY), 15000, 01/13/2023, 20022407, P
(SMPNY), 50000, 01/13/2023, 20022407, S
(SOMMY), 15000, 01/13/2023, 20022407, P
(STBFY), 15000, 01/13/2023, 20022407, P
(SYNH), 15000, 01/31/2023, 20022407, S
(TTD), 50000, 01/31/2023, 20022407, P
(TKOMY), 15000, 01/13/2023, 20022407, S
(TRYIY), 15000, 01/13/2023, 20022407, P
(TOSYY), 15000, 01/13/2023, 20022407, P
(UAL), 15000, 01/31/2023, 20022407, P
(UNH), 50000, 01/31/2023, 20022407, S
(VZ), 15000, 01/31/2023, 20022407, P
(WJRYY), 15000, 01/13/2023, 20022407, P
(WPM), 15000, 01/31/2023, 20022407, S
(ZURVY), 50000, 01/13/2023, 20022407, S
