(ALGM), 15000, 01/23/2023, 20022412, P
(GOOG), 15000, 01/27/2023, 20022412, S
(GOOG), 15000, 01/20/2023, 20022412, P
(ADP), 15000, 01/11/2023, 20022412, P
(ADP), 15000, 01/17/2023, 20022412, S
(ADP), 15000, 01/31/2023, 20022412, S
(BHP), 15000, 01/11/2023, 20022412, S
(SQ), 15000, 01/20/2023, 20022412, P
(SQ), 15000, 01/31/2023, 20022412, P
(SQ), 15000, 01/27/2023, 20022412, P
(COF), 15000, 01/27/2023, 20022412, P
(SCHW), 15000, 01/18/2023, 20022412, P
(CINF), 15000, 01/11/2023, 20022412, S
(DBSDY), 15000, 01/11/2023, 20022412, S
(EXAS), 15000, 01/20/2023, 20022412, P
(FIS), 15000, 01/11/2023, 20022412, P
(GMED), 15000, 01/11/2023, 20022412, S
(HLI), 15000, 01/11/2023, 20022412, S
(IBM), 15000, 01/20/2023, 20022412, S
(IBM), 15000, 01/31/2023, 20022412, S
(IBM), 15000, 01/11/2023, 20022412, P
(LRCX), 15000, 01/11/2023, 20022412, S
(MTSI), 15000, 01/23/2023, 20022412, S
(MTSI), 15000, 01/11/2023, 20022412, S
(MRK), 15000, 01/11/2023, 20022412, S
(META), 15000, 01/31/2023, 20022412, P
(META), 15000, 01/27/2023, 20022412, P
(MNST), 15000, 01/11/2023, 20022412, P
(ROK), 15000, 01/12/2023, 20022412, P
(SHOP), 15000, 01/17/2023, 20022412, P
(SHOP), 15000, 01/31/2023, 20022412, P
(SHOP), 15000, 01/23/2023, 20022412, P
(SYNH), 15000, 01/23/2023, 20022412, S
(TCEHY), 15000, 01/11/2023, 20022412, S
(TMO), 15000, 01/11/2023, 20022412, S
(UNH), 15000, 01/31/2023, 20022412, S
(UNH), 15000, 01/17/2023, 20022412, S
